Item,Mean_nocontext,YMin_nocontext,YMax_nocontext,Mean_context,CILow,CIHigh,YMin_context,YMax_context
164185:22,3.2,2.1,4.4,4.3,1.4,1.3024999999999975,2.9,5.602499999999997
164259:34,3.8,2.4,5.1,5.4,1,0.8999999999999995,4.4,6.3
164345:22,6,4.7975,6.8,6.3,0.5999999999999996,0.5,5.7,6.8
164352:16,4.4,3.1,5.6,5.9,1.0025000000000004,0.7999999999999998,4.8975,6.7
164368:12,5,3.8975,5.8,6.8,0.39999999999999947,0.20000000000000018,6.4,7
164404:48,5.4,4.4,6.2,5.7,0.9000000000000004,0.8024999999999975,4.8,6.502499999999998
16456:40,2.8,1.8,3.702499999999998,3.7,1.1,1.2999999999999998,2.6,5
164770:133,4.6,3.8,5.2,3.9,1,1.0000000000000004,2.9,4.9
164858:59,4.2,3.1,5.4,4.6,1.4024999999999994,1.3000000000000007,3.1975000000000002,5.9
164949:21,2.9,2,3.8,4,1.2000000000000002,1.2999999999999998,2.8,5.3
165280:27,4.3,2.9,5.7,2.9,1.0999999999999999,1.3000000000000003,1.8,4.2
165513:41,5.4,4.5,6.1,4.4,1.3000000000000003,1.2999999999999998,3.1,5.7
165687:30,4.8,3.7,5.9,3.7,1,1.0999999999999996,2.7,4.8
16570:13,5,4,6,4.7,1,0.8999999999999995,3.7,5.6
165750:14,3.5,2.6,4.6,4.3,1.2999999999999998,1.4000000000000004,3,5.7
165858:16,5,4.1,5.8,6,0.2999999999999998,0.2999999999999998,5.7,6.3
16608:27,3.5,2.3,4.9,4.2,1.1,1.2000000000000002,3.1,5.4
166085:182,4.7,3.5,5.8,4.6,1.1999999999999997,1,3.4,5.6
166169:26,5.2,4,6.2,6.2,0.40000000000000036,0.39999999999999947,5.8,6.6
166177:13,5.5,4.2,6.5,4.4,0.8000000000000003,0.6999999999999993,3.6,5.1
16640:26,5.5,4.5,6.4,6,1.2999999999999998,0.9000000000000004,4.7,6.9
166453:10,2.8,1.7,4.1,2.1,0.8,1.1,1.3,3.2
166634:38,1.9,1.3,2.6,2.4,1.0999999999999999,1.3000000000000003,1.3,3.7
166762:101,5.2,4.4,5.9,3.3,1,1.1000000000000005,2.3,4.4
166774:13,3.9,3.0975,4.9,4.7,0.8000000000000003,0.7999999999999998,3.9,5.5
166799:28,5.6,4.4,6.5,5.6,0.9024999999999999,0.8000000000000007,4.6975,6.4
166806:63,2.9,1.9,4.1,3.7,1.4000000000000004,1.5,2.3,5.2
166817:15,3,2,4.1,1.8,0.6000000000000001,0.9000000000000001,1.2,2.7
166876:51,3.6,2.6,4.7,2.2,0.6000000000000001,0.6999999999999997,1.6,2.9
166903:55,5.2,4.3975,6.002499999999998,5.9,0.5,0.5,5.4,6.4
166971:48,4.3,3.2,5.5,3.5,1.1,1.2000000000000002,2.4,4.7
167015:43,3.7,2.5,4.7,2.8,0.8999999999999999,1.1,1.9,3.9
167037:72,4.1,2.8,5.3,2.4,0.8999999999999999,1.1,1.5,3.5
167299:10,3,1.9,4.2,3.2,1.3000000000000003,1.3999999999999995,1.9,4.6
167359:42,4.9,3.5,6.1,6.1,1.0999999999999996,0.9000000000000004,5,7
168216:15,4,3,5,3.1,0.8000000000000003,0.8999999999999999,2.3,4
168217:7,2.2,1.3,3.4,4.8,1.5,1.2000000000000002,3.3,6
168218:13,4.3,3.1,5.5,4.2,0.8025000000000002,0.8999999999999995,3.3975,5.1
168236:157,3.8,2.6,4.9,4,1,0.9000000000000004,3,4.9
168555:17,3.6,2.4,4.8024999999999975,1.6,0.5,0.5,1.1,2.1
168569:28,5.4,4.3975,6.4,6.2,0.7999999999999998,0.7000000000000002,5.4,6.9
168576:39,5.7,4.6,6.5,6.2,0.9000000000000004,0.7000000000000002,5.3,6.9
1686:32,3.9,2.9,4.8,2.4,1.0024999999999997,1.1024999999999978,1.3975000000000002,3.5024999999999977
168606:48,3.7,2.6,4.9,4.1,1.0999999999999996,1,3,5.1
168607:32,3.3,2.5,4.2,3.2,1.2000000000000002,1.2999999999999998,2,4.5
168823:14,3.8,2.8,4.9,2.1,0.7000000000000002,0.7999999999999998,1.4,2.9
168976:57,4.6,3.4975,5.7,3.8,1,0.7999999999999998,2.8,4.6
168977:55,5.2,3.9,6.1,5,1.2000000000000002,1,3.8,6
168982:36,4.9,3.7,6.1,5.2,0.7024999999999997,0.7000000000000002,4.4975000000000005,5.9
168991:40,4.9,3.9,5.8,5.6,1,0.9000000000000004,4.6,6.5
169024:29,2.1,1.3,3,3,1.0025,1.2999999999999998,1.9975,4.3
169028:53,3.2,2.2,4.2,4.5,1.2999999999999998,1.2000000000000002,3.2,5.7
169366:50,5.3,4.4,6.102499999999997,5.3,0.8999999999999995,0.7999999999999998,4.4,6.1
169714:12,3,1.8975000000000002,4.3,2,0.8999999999999999,1.1,1.1,3.1
169818:78,4,3.29875,4.75,3.3,1.1999999999999997,1.2999999999999998,2.1,4.6
169856:19,4.9,3.9,5.7,5.5,1.0999999999999996,0.9000000000000004,4.4,6.4
169857:78,3.2,1.9,4.5,3,1.2,1.2000000000000002,1.8,4.2
169890:62,5.1,4,5.9,5.8,1,0.7000000000000002,4.8,6.5
169898:50,3.7,2.6,4.9,1.9,0.5,0.5,1.4,2.4
169902:90,4.9,3.9,5.8,5.2,1.3000000000000003,1.0024999999999977,3.9,6.202499999999998
169939:81,4.7,3.5,5.8,3.5,0.7999999999999998,0.9000000000000004,2.7,4.4
170022:25,4.5,3.1,5.8,3.3,1.0999999999999996,1,2.2,4.3
17008:76,4.7,3.3,5.9,4.4,1.1000000000000005,1,3.3,5.4
170188:13,4.7,3.4975,5.8,4.4,1.4025000000000003,1.2999999999999998,2.9975,5.7
170188:22,4.2,2.6,5.7,4.5,1.2999999999999998,1.4000000000000004,3.2,5.9
170740:34,3.1,2.1,4.3,2.2,0.9000000000000001,1.0999999999999996,1.3,3.3
170859:54,3.4,2.1,4.7,2.8,0.7999999999999998,1,2,3.8
170937:25,6,5,6.8,6,1.0999999999999996,0.9000000000000004,4.9,6.9
171124:6,4.1,3,5.1,4.4,1.0000000000000004,1.0999999999999996,3.4,5.5
171199:29,2.8,1.8,3.9,3.4,1.5,1.6999999999999997,1.9,5.1
171282:63,4,2.8,5.3,5.6,1.0999999999999996,0.9000000000000004,4.5,6.5
171283:17,4,2.8,5.1,5,1.2000000000000002,1,3.8,6
171283:28,6.1,5.5,6.7,5.9,1,0.7999999999999998,4.9,6.7
171296:110,4.5,3.4,5.5,5.7,0.7000000000000002,0.5,5,6.2
171344:39,3.2,2.0975,4.4,1.9,0.5999999999999999,0.6024999999999978,1.3,2.5024999999999977
